temp obj ,temp amb,tempo
61.31,54.94,5132s
60.69,55.16,5142s
59.77,55.35,5152s
58.85,55.53,5162s
58.18,55.68,5172s
57.60,55.81,5182s
57.67,55.95,5192s
57.49,56.09,5202s
57.05,56.22,5212s
56.64,56.28,5222s
56.51,56.35,5233s
54.14,56.38,5243s
52.57,56.23,5253s
53.36,56.16,5263s
54.23,56.07,5273s
55.36,56.04,5283s
nan,nan,5293s
nan,nan,5303s
nan,nan,5313s
nan,nan,5323s
nan,nan,5333s
59.31,55.92,5344s
59.56,55.93,5354s
59.64,nan,5364s
60.29,56.00,5374s
nan,nan,5384s
61.43,56.21,5394s
61.86,56.33,5404s
62.58,nan,5414s
62.84,56.61,5424s
62.68,56.73,5434s
nan,nan,5444s
nan,nan,5455s
63.92,57.22,5465s
64.62,57.44,5475s
64.45,57.59,5485s
nan,nan,5495s
65.24,57.93,5505s
65.68,58.11,5515s
65.99,58.25,5525s
66.32,58.40,5535s
nan,nan,5545s
nan,nan,5555s
nan,nan,5566s
66.57,58.98,5576s
66.63,59.15,5586s
66.98,59.32,5596s
66.80,59.49,5606s
66.95,59.67,5616s
nan,nan,5626s
68.96,59.94,5636s
70.47,60.07,5646s
69.68,60.20,5656s
nan,nan,5666s
nan,nan,5677s
nan,nan,5687s
nan,nan,5697s
nan,nan,5707s
69.04,60.88,5717s
68.33,61.01,5727s
67.70,61.12,5737s
67.56,61.20,5747s
67.33,61.26,5757s
66.94,61.34,5767s
nan,nan,5777s
nan,nan,5787s
nan,nan,5798s
nan,nan,5808s
nan,nan,5818s
63.87,61.37,5828s
63.40,61.28,5838s
62.98,61.21,5848s
62.79,61.11,5858s
62.47,61.01,5868s
62.14,60.93,5878s
60.67,60.80,5888s
59.64,60.65,5899s
nan,nan,5909s
nan,nan,5919s
59.25,60.08,5929s
59.47,59.90,5939s
nan,59.72,5949s
58.97,59.52,5959s
nan,nan,5969s
58.79,59.10,5979s
57.99,58.90,5990s
nan,nan,6000s
nan,nan,6010s
nan,nan,6020s
nan,nan,6030s
nan,nan,6040s
57.89,57.44,6050s
57.99,57.18,6060s
57.80,56.93,6070s
nan,nan,6080s
57.46,56.43,6091s
57.34,56.18,6101s
57.20,55.92,6111s
57.18,55.66,6121s
57.29,55.40,6131s
57.22,55.15,6141s
56.70,54.91,6151s
55.72,54.68,6161s
55.46,54.43,6171s
53.24,54.09,6182s
54.54,53.78,6192s
55.88,53.55,6202s
56.51,53.30,6212s
57.49,53.09,6222s
59.09,52.94,6232s
59.79,52.82,6242s
60.91,52.71,6252s
61.48,52.66,6262s
62.07,52.59,6272s
63.02,52.55,6282s
63.93,52.63,6293s
64.37,52.76,6303s
64.77,52.88,6313s
65.29,53.04,6323s
65.71,53.21,6333s
66.15,53.41,6343s
66.51,53.64,6353s
66.75,53.85,6363s
67.22,54.11,6373s
67.49,54.37,6383s
67.67,54.63,6393s
67.76,54.93,6404s
68.22,55.21,6414s
68.39,55.49,6424s
nan,55.75,6434s
69.24,56.04,6444s
69.41,56.35,6454s
69.63,56.63,6464s
70.00,56.90,6474s
70.51,57.20,6484s
70.95,57.48,6494s
71.24,57.77,6505s
71.48,58.06,6515s
71.63,58.27,6525s
72.11,58.55,6535s
72.86,58.85,6545s
72.88,59.09,6555s
73.20,59.32,6565s
73.38,59.58,6575s
73.02,59.75,6585s
74.65,59.79,6595s
75.31,59.88,6605s
75.40,60.01,6616s
75.02,60.16,6626s
74.36,60.31,6636s
74.04,60.50,6646s
73.86,60.70,6656s
73.61,60.92,6666s
73.09,61.13,6676s
72.69,61.35,6686s
72.40,61.57,6696s
72.22,61.81,6706s
71.60,62.02,6716s
71.38,62.21,6727s
70.78,62.40,6737s
70.66,62.60,6747s
70.26,62.75,6757s
69.76,62.89,6767s
69.46,63.00,6777s
68.95,63.14,6787s
68.38,63.22,6797s
67.97,63.30,6807s
67.02,63.35,6817s
66.83,63.40,6827s
66.34,63.43,6838s
66.04,63.43,6848s
65.79,63.44,6858s
65.42,63.43,6868s
64.88,63.40,6878s
64.23,63.33,6888s
64.23,63.27,6898s
63.80,63.20,6908s
63.41,63.10,6918s
62.97,63.01,6928s
63.02,62.88,6938s
62.39,62.76,6949s
62.14,62.60,6959s
61.80,62.45,6969s
61.48,62.25,6979s
61.55,62.07,6989s
61.57,61.88,6999s
61.36,61.68,7009s
61.23,61.47,7019s
61.06,61.24,7029s
60.88,61.01,7040s
60.78,60.79,7050s
60.57,60.55,7060s
60.26,60.29,7070s
60.04,60.05,7080s
59.93,59.79,7090s
59.84,59.53,7100s
59.71,59.28,7110s
59.53,59.03,7120s
59.06,58.78,7130s
58.74,58.50,7140s
58.53,58.24,7151s
58.23,57.97,7161s
58.06,57.69,7171s
57.81,57.43,7181s
57.83,57.18,7191s
57.70,56.92,7201s
57.55,56.66,7211s
57.49,56.40,7221s
57.01,56.13,7231s
56.67,55.87,7242s
56.77,55.63,7252s
56.36,55.37,7262s
56.31,55.13,7272s
56.23,54.88,7282s
56.39,54.64,7292s
56.86,54.39,7302s
57.18,54.15,7312s
55.02,53.92,7322s
